PDB_ID_1,PDB_ID_2,NSWS,D2,TM_score1,TM_score2
1CDG,1JER,0.015867291741795887,10.0,0.0998,0.42142
1CDG,1ZIA,0.017397741995187857,11.0,0.09858,0.39224
1CDG,9PCY,0.017952635599694424,14.0,0.0991,0.46675
1CDG,1PLB,0.02029484970323569,8.0,0.09808,0.45287
1CDG,1NIN,0.017444065225635193,10.0,0.10452,0.47035
1CDG,1PAL,0.014823261117445839,10.0,0.09504,0.36669
1CDG,4CPV,0.01596047881436443,10.0,0.09569,0.38076
1CDG,4TNC,0.018817681519616547,10.0,0.11719,0.36003
1CDG,5PAL,0.016260162601626018,5.0,0.09449,0.3732
1CDG,1OMD,0.02383204085492718,5.0,0.09418,0.36169
1CDG,1REC,0.0186693822131704,10.0,0.12962,0.33326
1CDG,1CLB,0.013825794983211535,5.0,0.06536,0.38123
1CDG,1CTR,0.014092140921409214,7.0,0.10394,0.34289
1CDG,2SAS,0.021854191565647944,14.0,0.13266,0.36158
1CDG,1PE6,0.020418244689609746,5.0,0.13058,0.32069
1AEC,1CDG,0.021364009860312245,7.0,0.31491,0.13328
1CDG,1PPO,0.022697368421052633,13.0,0.13479,0.31536
1CDG,1YAL,0.017716535433070866,21.0,0.13843,0.32736
1CDG,1CSU,0.01653203080969378,7.0,0.09455,0.33098
1CDG,1HRC,0.015515610217596973,11.0,0.091,0.34088
1CDG,3C2C,0.015060240963855422,8.0,0.08783,0.34524
1CCR,1CDG,0.016476315296760906,9.0,0.34728,0.08981
1CDG,1CXC,0.01694915254237288,10.0,0.09508,0.36697
155C,1CDG,0.016305354826755606,12.0,0.37587,0.11138
1CDG,1CRY,0.022259950952650442,16.0,0.08811,0.3488
1CDG,3DFR,0.014801762114537445,11.0,0.13849,0.40489
1CDG,8DFR,0.018150684931506848,11.0,0.15136,0.39154
1CDG,1DYR,0.014760147601476014,11.0,0.14147,0.35771
1CDG,1DLR,0.016452442159383032,15.0,0.15408,0.40194
1CDG,1CRB,0.017429193899782137,9.0,0.10236,0.38788
1CDG,1HMR,0.01991150442477876,7.0,0.09859,0.3886
1CDG,1ICN,0.017689331122166942,17.0,0.09805,0.38665
1CDG,1MDC,0.01733038348082596,29.0,0.10186,0.41552
1ALB,1CDG,0.026543778801843318,6.0,0.38695,0.09577
1CBQ,1CDG,0.015716374269005847,8.0,0.37897,0.09879
1CDG,1EAL,0.019234325873867208,8.0,0.0984,0.34795
1CDG,1FRD,0.01450381679389313,19.0,0.0811,0.36355
1CDG,2PIA,0.01837037037037037,15.0,0.20233,0.36002
1CDG,1DOX,0.013014354066985647,15.0,0.07764,0.36917
1CDG,1ROE,0.01375883814255685,8.0,0.07612,0.32351
1CDG,1DOI,0.015745148297326986,7.0,0.0925,0.35632
1CDG,4FXC,0.014509354715540282,8.0,0.08032,0.36418
1CDG,3FX2,0.019410496046010063,17.0,0.13777,0.43574
1CDG,1FLV,0.017850892544627232,12.0,0.1474,0.44269
1CDG,1OFV,0.01680672268907563,12.0,0.1455,0.43484
1CDG,2FRC,0.015515610217596973,11.0,0.08477,0.36072
1CDG,1FLA,0.021462349945434705,14.0,0.1301,0.47642
1CDG,5FD1,0.014917024053701287,10.0,0.09789,0.43465
1CDG,1FDN,0.01282822208859491,10.0,0.05838,0.36456
1CDG,1FXD,0.011616262767875024,5.0,0.05357,0.37348
1BLU,1CDG,0.01082753286929621,6.0,0.37847,0.07481
1CDG,1ROF,0.014767511474755537,5.0,0.05376,0.36316
1CDG,1CLF,0.016857314870559904,5.0,0.05291,0.34425
1CDG,2SPL,0.015013404825737266,8.0,0.11831,0.36576
1CDG,3MBA,0.0199203187250996,8.0,0.10818,0.35222
1ASH,1CDG,0.015280739161336177,13.0,0.36889,0.10684
1CDG,1ECN,0.022291247944454595,11.0,0.10849,0.3676
1CDG,1FLP,0.01847826086956522,20.0,0.11597,0.37927
1CDG,1GDJ,0.01730977280923188,6.0,0.11694,0.35468
1CDG,1HBG,0.024205202312138727,17.0,0.11176,0.37198
1CDG,1HSA,0.008639308855291577,9.0,0.15065,0.2961
1CDG,1LHS,0.01324977618621307,9.0,0.11828,0.37022
1CDG,1MYT,0.014852381814888608,11.0,0.11401,0.37574
1CDG,2LHB,0.019522776572668113,7.0,0.11656,0.37353
1CDG,1HLM,0.01639344262295082,8.0,0.12014,0.35997
1CDG,1HLB,0.017911517105498837,10.0,0.11367,0.35964
1CDG,1ENH,0.014201663623453034,12.0,0.0576,0.43774
1CDG,1FTZ,0.017456853798849436,13.0,0.06399,0.40744
1CDG,1HDP,0.016416416416416415,13.0,0.06624,0.40761
1CDG,1OCP,0.017881978939002584,12.0,0.06414,0.45721
1CDG,1POU,0.015844721727074667,6.0,0.07251,0.38842
1CDG,1FTT,0.013902681231380337,10.0,0.06925,0.42758
1CDG,1VND,0.01215686274509804,9.0,0.0771,0.44059
1CDG,1CLH,0.017587055926837847,10.0,0.10362,0.32596
1CDG,1GRG,0.015247447990696472,15.0,0.22142,0.30099
1CDG,1NHR,0.01552047096601552,18.0,0.22623,0.31088
1CDG,1LVL,0.014000792497688548,18.0,0.20844,0.28193
1CDG,1TDF,0.015963855421686747,10.0,0.18199,0.32692
1CDG,1VDC,0.01804733727810651,16.0,0.1873,0.32861
1CGT,2AAA,0.13347102104040273,16.0,0.62066,0.87805
1CGT,2EXO,0.022044390759474557,7.0,0.32498,0.63491
1AMY,1CGT,0.04765773084213377,6.0,0.80371,0.49317
1CGT,1CYG,0.6697348235809775,7.0,0.9781,0.98381
1CGT,1PPI,0.04598558289833458,6.0,0.54821,0.73445
1CGT,1XAS,0.02258507553792156,3.0,0.31275,0.63407
1CGT,1XYS,0.025264992013939305,7.0,0.33747,0.60604
1CGT,1CIU,0.7308750687947165,9.0,0.98544,0.98687
1CGT,2AMG,0.06597774244833068,8.0,0.50346,0.7948
1CGT,5ABP,0.01711753018493046,11.0,0.16267,0.29402
1CGT,1PEA,0.013426573426573427,5.0,0.20412,0.32938
1CGT,3GBP,0.03038207764308731,13.0,0.18076,0.32298
1CGT,1DBP,0.01732712979303706,7.0,0.17916,0.35658
1CGT,2LIV,0.014749262536873156,4.0,0.20022,0.33494
1CGT,2LBP,0.013789056769840106,7.0,0.19999,0.33375
1ADG,1CGT,0.017366548042704627,6.0,0.3039,0.19426
1CGT,3ADK,0.014201593349497749,6.0,0.17118,0.46489
1CGT,1UKY,0.015035024773620365,9.0,0.17205,0.46597
1AK2,1CGT,0.015511551155115511,7.0,0.43852,0.17239
1AKY,1CGT,0.014703425229741019,6.0,0.44026,0.17401
1CGT,2RAN,0.015335071308081583,15.0,0.1878,0.33607
1AII,1CGT,0.019349962207105064,5.0,0.32845,0.1885
1ALA,1CGT,0.014927646610814927,3.0,0.33174,0.18614
1AIN,1CGT,0.012865676213815286,15.0,0.3308,0.18686
1ANN,1CGT,0.016440858578170195,16.0,0.29401,0.16956
1CGT,2PLT,0.01583928916360827,8.0,0.1011,0.46682
1CGT,3PCY,0.01698841698841699,15.0,0.09989,0.45592
1CGT,7PCY,0.02125193199381762,10.0,0.10163,0.47364
1AAJ,1CGT,0.017966360856269112,11.0,0.4472,0.10697
1CGT,1PAZ,0.018028169014084508,15.0,0.09346,0.38452
1CGT,1PMY,0.01457671463277892,7.0,0.09751,0.38721
1CGT,1JER,0.020746132848043677,6.0,0.10114,0.41595
1CGT,1ZIA,0.017563527653213753,7.0,0.09868,0.38935
1CGT,9PCY,0.017743490838958535,12.0,0.10028,0.45703
1CGT,1PLB,0.016627996906419182,8.0,0.10029,0.43498
1CGT,1NIN,0.014168102623013594,10.0,0.10527,0.46449
1CGT,1PAL,0.01535213970447131,8.0,0.09626,0.36748
1CGT,4CPV,0.014965464313123561,14.0,0.09303,0.37039
1CGT,4TNC,0.016123253314224293,10.0,0.12483,0.37339
1CGT,5PAL,0.014891179839633447,5.0,0.09252,0.37397
1CGT,1OMD,0.022536287242169595,5.0,0.0956,0.35615
1CGT,1REC,0.014723506248929978,10.0,0.12723,0.33354
1CGT,1CLB,0.017557861133280128,5.0,0.06728,0.38135
1CGT,1CTR,0.01823486506199854,7.0,0.10565,0.35406
1CGT,2SAS,0.022390630382363073,10.0,0.1288,0.33368
1CGT,1PE6,0.01893058784456991,3.0,0.13418,0.31739
1AEC,1CGT,0.0195558501823003,5.0,0.30446,0.12321
1CGT,1PPO,0.014927848731132858,9.0,0.13464,0.31435
1CGT,1YAL,0.01488833746898263,19.0,0.1385,0.32573
1CGT,1CSU,0.01669195751138088,5.0,0.08807,0.33324
1CGT,1HRC,0.014902560183416125,9.0,0.08329,0.35126
1CGT,3C2C,0.023949819425964646,6.0,0.10001,0.3753
1CCR,1CGT,0.02003780718336484,9.0,0.35095,0.0899
1CGT,1CXC,0.01710991259066394,10.0,0.0954,0.36495
155C,1CGT,0.016086793864571642,12.0,0.34729,0.1036
1CGT,1CRY,0.022476190476190476,14.0,0.08486,0.33314
1CGT,3DFR,0.017780938833570414,13.0,0.13644,0.39705
1CGT,8DFR,0.01796510623596476,9.0,0.13466,0.37797
1CGT,1DYR,0.01556420233463035,9.0,0.14279,0.36542
1CGT,1DLR,0.019363762102351315,13.0,0.13444,0.37642
1CGT,1CRB,0.014293567894447499,9.0,0.10257,0.38785
1CGT,1HMR,0.021589428624604504,5.0,0.09883,0.38951
1CGT,1ICN,0.019717261904761904,13.0,0.09739,0.38466
1CGT,1MDC,0.020472734040573235,21.0,0.10131,0.41373
1ALB,1CGT,0.023074060290286566,6.0,0.38475,0.09452
1CBQ,1CGT,0.014388489208633094,8.0,0.37903,0.09901
1CGT,1EAL,0.018297236743838687,6.0,0.09964,0.33845
1CGT,1FRD,0.016573520909616498,17.0,0.08132,0.36535
1CGT,2PIA,0.01522615315718764,13.0,0.2029,0.35974
1CGT,1DOX,0.014302280633938926,11.0,0.07985,0.37031
1CGT,1ROE,0.015438054805094558,8.0,0.07932,0.31221
1CGT,1DOI,0.014045462945851045,7.0,0.0999,0.34583
1CGT,4FXC,0.014652014652014652,6.0,0.08034,0.36133
1CGT,3FX2,0.02212951206239797,15.0,0.13318,0.43443
1CGT,1FLV,0.01907116369415504,10.0,0.14763,0.43715
1CGT,1OFV,0.01695813460519343,10.0,0.14535,0.43189
1CGT,2FRC,0.014902560183416125,9.0,0.08989,0.35372
1CGT,1FLA,0.018725904167431615,12.0,0.13087,0.45433
1CGT,5FD1,0.013930722891566265,8.0,0.09563,0.43074
1CGT,1FDN,0.012555690562980963,10.0,0.06255,0.38909
1CGT,1FXD,0.012950222581950627,5.0,0.06108,0.36945
1BLU,1CGT,0.010935364186682289,6.0,0.36032,0.07481
1CGT,1ROF,0.011693548387096775,5.0,0.06127,0.3453
1CGT,1CLF,0.0170316301703163,3.0,0.06421,0.43046
1CGT,2SPL,0.016233766233766232,6.0,0.11113,0.34174
1CGT,3MBA,0.020471577408152076,6.0,0.10826,0.35098
1ASH,1CGT,0.01506186121570737,11.0,0.36715,0.10856
1CGT,1ECN,0.02028771670970122,9.0,0.10917,0.3704
1CGT,1FLP,0.023770341927226185,16.0,0.11016,0.37905
1CGT,1GDJ,0.01492265696087352,6.0,0.11469,0.35757
1CGT,1HBG,0.016773017319963536,15.0,0.11316,0.37403
1CGT,1HSA,0.008735531775496833,7.0,0.15217,0.30112
1CGT,1LHS,0.013010480664980123,7.0,0.10922,0.35223
1CGT,1MYT,0.015722120658135285,9.0,0.11029,0.36748
1CGT,2LHB,0.017879948914431672,5.0,0.11582,0.35749
1CGT,1HLM,0.016184139543247617,6.0,0.11629,0.35761
1CGT,1HLB,0.019884309472161965,8.0,0.10417,0.34145
1CGT,1ENH,0.018040180401804017,10.0,0.05764,0.42962
1CGT,1FTZ,0.016432865731462926,11.0,0.06482,0.39874
1CGT,1HDP,0.013349514563106795,9.0,0.06632,0.40082
1CGT,1OCP,0.017663588920112404,10.0,0.06455,0.45457
1CGT,1POU,0.015606242496998799,4.0,0.07256,0.38505
1CGT,1FTT,0.014847512038523275,8.0,0.06904,0.42263
1CGT,1VND,0.013468013468013467,7.0,0.07403,0.41314
1CGT,1CLH,0.017391304347826087,8.0,0.10411,0.32663
1CGT,1GRG,0.01716961498439126,13.0,0.21534,0.29124
1CGT,1NHR,0.015627104944092685,18.0,0.2229,0.30574
1CGT,1LVL,0.014893617021276596,18.0,0.20642,0.27993
1CGT,1TDF,0.014873273637881317,10.0,0.18075,0.32501
1CGT,1VDC,0.0202712773885825,12.0,0.18698,0.32293
2AAA,2EXO,0.026385224274406333,19.0,0.43027,0.61407
1AMY,2AAA,0.06920415224913495,16.0,0.79347,0.68005
1CYG,2AAA,0.12780125496222308,17.0,0.6245,0.87865
1PPI,2AAA,0.04696091544063011,18.0,0.71337,0.74006
1XAS,2AAA,0.03705118411000764,17.0,0.62001,0.4161
1XYS,2AAA,0.020466786355475764,21.0,0.58462,0.44594
1CIU,2AAA,0.14263645726055613,23.0,0.62172,0.87878
2AAA,2AMG,0.08184882041405873,22.0,0.69433,0.7867
2AAA,5ABP,0.024492920015308076,25.0,0.24799,0.34018
1PEA,2AAA,0.017486713526487226,17.0,0.31418,0.26128
2AAA,3GBP,0.029615384615384616,21.0,0.24708,0.33894
1DBP,2AAA,0.01871440195280716,19.0,0.33878,0.22524
2AAA,2LIV,0.01757276221856123,16.0,0.24254,0.31039
2AAA,2LBP,0.021454545454545455,19.0,0.24328,0.30922
1ADG,2AAA,0.016468114926419062,16.0,0.29895,0.24999
2AAA,3ADK,0.02198788422705856,20.0,0.21839,0.43562
1UKY,2AAA,0.02072310405643739,23.0,0.43993,0.2241
1AK2,2AAA,0.017710309930423784,19.0,0.41056,0.2282
1AKY,2AAA,0.01970865467009426,16.0,0.39004,0.21468
2AAA,2RAN,0.017678708685626442,19.0,0.2137,0.28735
1AII,2AAA,0.015855039637599093,17.0,0.29984,0.22737
1ALA,2AAA,0.01524390243902439,17.0,0.29936,0.2207
1AIN,2AAA,0.01841903300076746,25.0,0.31872,0.23559
1ANN,2AAA,0.022086824067022087,24.0,0.32275,0.23831
2AAA,2PLT,0.019689119170984457,22.0,0.12069,0.39822
2AAA,3PCY,0.021227025627750452,23.0,0.12237,0.37658
2AAA,7PCY,0.025395180098471106,22.0,0.12363,0.392
1AAJ,2AAA,0.017879948914431672,23.0,0.37711,0.12096
1PAZ,2AAA,0.020459081836327345,23.0,0.36643,0.13338
1PMY,2AAA,0.01983143282102132,19.0,0.38712,0.13714
1JER,2AAA,0.026807084729535663,18.0,0.34588,0.11188
1ZIA,2AAA,0.02379182156133829,23.0,0.38945,0.14055
2AAA,9PCY,0.01861427094105481,28.0,0.12274,0.37969
1PLB,2AAA,0.0191958495460441,22.0,0.3384,0.10866
1NIN,2AAA,0.01894521249359959,20.0,0.36111,0.11616
1PAL,2AAA,0.019517205957883924,22.0,0.36683,0.12552
2AAA,4CPV,0.01797175866495507,30.0,0.12756,0.37062
2AAA,4TNC,0.029073856975381007,22.0,0.1473,0.32726
2AAA,5PAL,0.020913032389696506,17.0,0.12675,0.36349
1OMD,2AAA,0.021944373564684868,17.0,0.36726,0.12658
1REC,2AAA,0.020778072502210435,20.0,0.34159,0.1685
1CLB,2AAA,0.016238159675236806,19.0,0.36993,0.09004
1CTR,2AAA,0.025437964962802977,19.0,0.34182,0.13915
2AAA,2SAS,0.019603475161505905,10.0,0.15681,0.29802
1PE6,2AAA,0.01955366631243358,17.0,0.33159,0.17764
1AEC,2AAA,0.025863896544413824,15.0,0.32283,0.17636
1PPO,2AAA,0.019949066213921902,7.0,0.33071,0.1803
1YAL,2AAA,0.020727580372250424,21.0,0.32718,0.17918
1CSU,2AAA,0.022756005056890013,15.0,0.34865,0.11301
1HRC,2AAA,0.018381414347715088,17.0,0.35012,0.11799
2AAA,3C2C,0.02028397565922921,14.0,0.12095,0.34831
1CCR,2AAA,0.021646111250943872,17.0,0.34675,0.11482
1CXC,2AAA,0.01921182266009852,18.0,0.36143,0.13621
155C,2AAA,0.018366840407048897,16.0,0.35139,0.14046
1CRY,2AAA,0.020340706839562676,22.0,0.38303,0.12954
2AAA,3DFR,0.01950313443231948,23.0,0.1929,0.43573
2AAA,8DFR,0.02101967799642218,19.0,0.18446,0.36936
1DYR,2AAA,0.01872006965607314,17.0,0.37625,0.20309
1DLR,2AAA,0.016565927915827176,25.0,0.37195,0.19247
1CRB,2AAA,0.023671497584541065,17.0,0.36965,0.13307
1HMR,2AAA,0.02465483234714004,17.0,0.37431,0.13153
1ICN,2AAA,0.025129342202512936,19.0,0.36048,0.14235
1MDC,2AAA,0.02465483234714004,23.0,0.39348,0.13498
1ALB,2AAA,0.022676854818831648,18.0,0.37792,0.1345
1CBQ,2AAA,0.025828460038986353,16.0,0.37317,0.13463
1EAL,2AAA,0.01931171081950978,16.0,0.35004,0.12776
1FRD,2AAA,0.021177685950413222,27.0,0.37424,0.11462
2AAA,2PIA,0.0189520624303233,21.0,0.27584,0.36986
1DOX,2AAA,0.024371273010111487,15.0,0.33543,0.10453
1ROE,2AAA,0.018628719275549807,16.0,0.34706,0.10995
1DOI,2AAA,0.021983390327308255,15.0,0.34765,0.13313
2AAA,4FXC,0.025322997416020673,14.0,0.11314,0.37747
2AAA,3FX2,0.0219256434699714,21.0,0.17407,0.40742
1FLV,2AAA,0.026231017027151405,20.0,0.42571,0.19477
1OFV,2AAA,0.02716390423572744,20.0,0.42868,0.19666
2AAA,2FRC,0.018381414347715088,17.0,0.126,0.37446
1FLA,2AAA,0.018401937046004842,22.0,0.46376,0.17881
2AAA,5FD1,0.01902377972465582,20.0,0.12379,0.36896
1FDN,2AAA,0.01988400994200497,18.0,0.36268,0.07635
1FXD,2AAA,0.03144827586206896,19.0,0.38613,0.07625
1BLU,2AAA,0.021556256572029444,18.0,0.36447,0.10218
1ROF,2AAA,0.017018940433708482,19.0,0.39204,0.08313
1CLF,2AAA,0.02268326417704011,17.0,0.36178,0.07399
2AAA,2SPL,0.017033356990773598,14.0,0.1563,0.3635
2AAA,3MBA,0.02455464612421762,18.0,0.14885,0.36349
1ASH,2AAA,0.01737089201877934,25.0,0.36449,0.145
1ECN,2AAA,0.022898903775883068,21.0,0.35957,0.13847
1FLP,2AAA,0.023121387283236993,24.0,0.38968,0.14775
1GDJ,2AAA,0.020105313547151747,18.0,0.34395,0.14871
1HBG,2AAA,0.026871401151631478,27.0,0.37156,0.15045
1HSA,2AAA,0.008583690987124463,15.0,0.30698,0.20651
1LHS,2AAA,0.017548019919373964,15.0,0.36599,0.15861
1MYT,2AAA,0.024078979051288224,17.0,0.36894,0.15352
2AAA,2LHB,0.03073967339097022,15.0,0.15896,0.38136
1HLM,2AAA,0.017907634307257305,16.0,0.35871,0.16013
1HLB,2AAA,0.018505338078291814,14.0,0.36146,0.15791
1ENH,2AAA,0.017410839651783208,20.0,0.43544,0.07496
1FTZ,2AAA,0.016335420637081405,21.0,0.36965,0.09257
1HDP,2AAA,0.015991177281499864,19.0,0.36097,0.08863
1OCP,2AAA,0.018553888130968622,22.0,0.39614,0.09638
1POU,2AAA,0.021733224667209998,18.0,0.33038,0.06982
1FTT,2AAA,0.01636214889555495,18.0,0.41377,0.09187
1VND,2AAA,0.017684887459807074,17.0,0.45136,0.11306
1CLH,2AAA,0.020379805465493284,18.0,0.32296,0.13951
1GRG,2AAA,0.020091037513734106,21.0,0.25769,0.2515
1NHR,2AAA,0.0183426138224697,30.0,0.28101,0.26919
1LVL,2AAA,0.014509108495889086,30.0,0.26496,0.2576
1TDF,2AAA,0.018209408194233688,26.0,0.3339,0.24754
1VDC,2AAA,0.028560830860534125,28.0,0.3259,0.24462
1AMY,2EXO,0.032355915065722954,5.0,0.47002,0.58003
1CYG,2EXO,0.018848167539267015,4.0,0.32827,0.63776
1PPI,2EXO,0.020695807314897414,3.0,0.40549,0.59278
1XAS,2EXO,0.4907587548638132,4.0,0.95847,0.90743
1XYS,2EXO,0.2968960863697706,6.0,0.8318,0.91543
1CIU,2EXO,0.0201685731487056,8.0,0.32624,0.63678
2AMG,2EXO,0.031721167025651066,7.0,0.45029,0.56934
2EXO,5ABP,0.030716723549488054,12.0,0.29389,0.29888
1PEA,2EXO,0.025058398810787853,6.0,0.28047,0.31508
2EXO,3GBP,0.023552502453385672,14.0,0.30491,0.31043
1DBP,2EXO,0.027953586497890294,6.0,0.29899,0.27177
2EXO,2LIV,0.026273334869785666,5.0,0.3043,0.28304
2EXO,2LBP,0.028793418647166363,8.0,0.3018,0.2795
1ADG,2EXO,0.02225130890052356,5.0,0.27081,0.30831
2EXO,3ADK,0.027002700270027002,5.0,0.29225,0.40987
1UKY,2EXO,0.031652989449003514,6.0,0.41126,0.29168
1AK2,2EXO,0.02321083172147002,6.0,0.39165,0.30334
1AKY,2EXO,0.030474040632054177,3.0,0.37558,0.28598
2EXO,2RAN,0.023529411764705882,16.0,0.28856,0.28605
1AII,2EXO,0.02922855773838045,4.0,0.29384,0.30041
1ALA,2EXO,0.02133850630455868,4.0,0.28232,0.28471
1AIN,2EXO,0.03228962818003914,10.0,0.29597,0.29729
1ANN,2EXO,0.03827519379844961,17.0,0.3004,0.30243
2EXO,2PLT,0.023391812865497075,9.0,0.15375,0.3564
2EXO,3PCY,0.029937933552391383,14.0,0.1625,0.35686
2EXO,7PCY,0.029981718464351007,9.0,0.15762,0.35369
1AAJ,2EXO,0.027946972411322105,10.0,0.37891,0.17018
1PAZ,2EXO,0.026352288488210817,16.0,0.37424,0.19348
1PMY,2EXO,0.03230240549828179,8.0,0.38365,0.20009
1JER,2EXO,0.024885396201702686,9.0,0.35393,0.16045
1ZIA,2EXO,0.03297835795259361,12.0,0.38512,0.19669
2EXO,9PCY,0.02988338192419825,15.0,0.15651,0.34036
1PLB,2EXO,0.03515195898938118,7.0,0.3664,0.15675
1NIN,2EXO,0.028037383177570093,9.0,0.34509,0.16557
1PAL,2EXO,0.027436823104693142,11.0,0.40534,0.18784
2EXO,4CPV,0.04114038253338145,15.0,0.1923,0.40489
2EXO,4TNC,0.030563514804202482,9.0,0.14627,0.23302
2EXO,5PAL,0.03432248838040758,2.0,0.18688,0.4045
1OMD,2EXO,0.03005366726296959,4.0,0.41278,0.18891
1REC,2EXO,0.02235294117647059,9.0,0.29449,0.20142
1CLB,2EXO,0.044340723453908985,6.0,0.32436,0.12046
1CTR,2EXO,0.03286230693394676,6.0,0.32079,0.18037
2EXO,2SAS,0.02852897473997028,15.0,0.20648,0.29491
1PE6,2EXO,0.02234012845573862,4.0,0.32571,0.24998
1AEC,2EXO,0.02282215418870025,4.0,0.32142,0.24995
1PPO,2EXO,0.023968784838350056,10.0,0.31264,0.24278
1YAL,2EXO,0.023307436182019976,20.0,0.31927,0.24581
1CSU,2EXO,0.026139173436948077,6.0,0.32435,0.16112
1HRC,2EXO,0.02577873254564984,10.0,0.37536,0.18331
2EXO,3C2C,0.03333333333333333,5.0,0.17821,0.35074
1CCR,2EXO,0.02527202527202527,6.0,0.35628,0.16636
1CXC,2EXO,0.03474114441416894,7.0,0.34603,0.18189
155C,2EXO,0.028227194492254734,9.0,0.37014,0.20588
1CRY,2EXO,0.046279814880740476,15.0,0.34701,0.16829
2EXO,3DFR,0.027646874018221804,14.0,0.25026,0.39032
2EXO,8DFR,0.023894862604540025,10.0,0.28507,0.41248
1DYR,2EXO,0.022478386167146973,10.0,0.35947,0.26703
1DLR,2EXO,0.02572539635058331,14.0,0.40149,0.27503
1CRB,2EXO,0.02453580901856764,6.0,0.35006,0.19759
1HMR,2EXO,0.0286493860845839,6.0,0.35022,0.19548
1ICN,2EXO,0.027257240204429302,16.0,0.32003,0.18609
1MDC,2EXO,0.03137789904502047,28.0,0.32409,0.18756
1ALB,2EXO,0.0320490964882373,5.0,0.3491,0.19501
1CBQ,2EXO,0.03355704697986577,5.0,0.34147,0.19478
1EAL,2EXO,0.0274442538593482,7.0,0.35337,0.19424
1FRD,2EXO,0.03275109170305677,20.0,0.30073,0.13813
2EXO,2PIA,0.02160638797557539,14.0,0.32062,0.31405
1DOX,2EXO,0.03000365898280278,12.0,0.30889,0.14497
1ROE,2EXO,0.030645749726377236,5.0,0.35186,0.1542
1DOI,2EXO,0.028956228956228958,4.0,0.3132,0.17102
2EXO,4FXC,0.03641660597232338,5.0,0.14469,0.31251
2EXO,3FX2,0.027994791666666668,16.0,0.2788,0.48244
1FLV,2EXO,0.038485412787088766,11.0,0.47296,0.30107
1OFV,2EXO,0.03291925465838509,11.0,0.43683,0.27899
2EXO,2FRC,0.02577873254564984,10.0,0.16173,0.34297
1FLA,2EXO,0.04125083166999335,11.0,0.49199,0.26014
2EXO,5FD1,0.029258098223615466,9.0,0.13045,0.28991
1FDN,2EXO,0.0368442130556668,9.0,0.361,0.09221
1FXD,2EXO,0.024790083966413436,4.0,0.4033,0.11418
1BLU,2EXO,0.03507462686567164,5.0,0.36806,0.13956
1ROF,2EXO,0.02461294164350933,4.0,0.3607,0.11276
1CLF,2EXO,0.026495383380168606,4.0,0.33538,0.09957
2EXO,2SPL,0.02513696422816629,5.0,0.19975,0.33991
2EXO,3MBA,0.031023102310231022,5.0,0.22686,0.39229
1ASH,2EXO,0.024872448979591837,14.0,0.39886,0.229
1ECN,2EXO,0.030191211003019122,10.0,0.39599,0.21392
1FLP,2EXO,0.040290620871862616,19.0,0.41751,0.23103
1GDJ,2EXO,0.03274394237066143,5.0,0.34481,0.20432
1HBG,2EXO,0.03350854139290407,16.0,0.37667,0.20857
1HSA,2EXO,0.023386342376052385,6.0,0.26251,0.24084
1LHS,2EXO,0.02392499191723246,6.0,0.38338,0.22306
1MYT,2EXO,0.027071640805546384,8.0,0.39145,0.22358
